[2026-09-02T06:12:10.703Z] INFO  [Installer] Status: enabled=true, claude=true, git=true, geminiHook=true, hermesHook=false, worktreeHooks=true, sessions=0, summaries=0, codex=true/true, gemini=true/true, enabledWorktrees=1, opencode=false/undefined, cursor=false/undefined, copilot=false/true, copilotChat=true, cline=false/undefined
[2026-09-02T06:12:11.051Z] INFO  [Installer] Status: enabled=true, claude=true, git=true, geminiHook=true, hermesHook=false, worktreeHooks=true, sessions=0, summaries=0, codex=true/true, gemini=true/true, enabledWorktrees=1, opencode=false/undefined, cursor=false/undefined, copilot=false/true, copilotChat=true, cline=false/undefined
[2026-09-02T06:12:11.060Z] INFO  [Installer] Checking Jolli Memory status
[2026-09-02T06:12:11.086Z] WARN  [CutoverRouter] database unavailable for un-cutover repo (database file does not exist) — orphan remains authoritative
[2026-09-02T06:12:11.086Z] INFO  [StorageFactory] StorageFactory.create: route=uncutover, projectPath=c:\Users\nandi\main-projects\Zest_Solution\Zest-Solution-
[2026-09-02T06:12:12.715Z] INFO  [Installer] Status: enabled=true, claude=true, git=true, geminiHook=true, hermesHook=false, worktreeHooks=true, sessions=0, summaries=0, codex=true/true, gemini=true/true, enabledWorktrees=1, opencode=false/undefined, cursor=false/undefined, copilot=false/true, copilotChat=true, cline=false/undefined
[2026-09-02T06:12:12.717Z] INFO  [RepoProfile] manual-disable read → false (by=manuallyDisabled, pid=30656, cwd=c:\Users\nandi\main-projects\Zest_Solution\Zest-Solution-, profile=c:\Users\nandi\main-projects\Zest_Solution\Zest-Solution-\.jolli\jollimemory\profile.json, raw: userDisabled=undefined manuallyDisabled=false fence=none)
[2026-09-02T09:24:55.031Z] INFO  [activate] Activating JolliMemory extension {"workspaceRoot":"c:\\Users\\nandi\\main-projects\\Zest_Solution\\Zest-Solution-","extensionPath":"c:\\Users\\nandi\\.antigravity-ide\\extensions\\jolli.jollimemory-vscode-0.99.17-universal"}
[2026-09-02T09:24:55.361Z] INFO  [initialLoad] Loading all panels
[2026-09-02T09:24:55.688Z] INFO  [RepoProfile] manual-disable read → false (by=manuallyDisabled, pid=7200, cwd=c:\Users\nandi\main-projects\Zest_Solution\Zest-Solution-, profile=c:\Users\nandi\main-projects\Zest_Solution\Zest-Solution-\.jolli\jollimemory\profile.json, raw: userDisabled=undefined manuallyDisabled=false fence=none)
[2026-09-02T09:24:55.793Z] INFO  [PlanService] detectPlans found 0 plans (0 in registry)
[2026-09-02T09:24:55.793Z] INFO  [NoteService] detectNotes found 0 notes (0 in registry)
[2026-09-02T09:24:55.793Z] INFO  [references] detectReferences(*) found 0 (0 in registry)
[2026-09-02T09:24:55.793Z] INFO  [SkillProjection] projectActiveSkills: 0 active (0 in registry)
[2026-09-02T09:24:56.184Z] WARN  [CutoverRouter] database unavailable for un-cutover repo (database file does not exist) — orphan remains authoritative
[2026-09-02T09:24:56.286Z] INFO  [Sync:VsCodeBootstrap] Memory Bank sync engine built (auto-sync off — manual only)
[2026-09-02T09:24:56.354Z] WARN  [CutoverRouter] database unavailable for un-cutover repo (database file does not exist) — orphan remains authoritative
[2026-09-02T09:24:56.354Z] INFO  [StorageFactory] StorageFactory.create: route=uncutover, projectPath=c:\Users\nandi\main-projects\Zest_Solution\Zest-Solution-
